NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd8_1410-RA	na	3.010884513	3.010884513	4.560125758	3.935662614	3.010884513	4.489792337	3.88172386	3.997368832	3.010884513	3.010884513	4.721855065	4.476275426
cgd8_1430-RA	na	4.278151787	4.369463144	4.560125758	3.010884513	4.768724174	3.932083313	5.165670937	4.577797821	4.648976093	3.010884513	4.106407252	4.131405811
cgd8_1450-RA	na	4.278151787	5.056554028	5.289839726	5.210499987	5.380587788	3.932083313	5.209739543	6.156693393	4.943216998	4.833197758	4.721855065	4.987482059
cgd8_1460-RA	na	4.278151787	4.753531578	5.289839726	4.896527863	4.489304987	4.489792337	4.868587159	3.010884513	4.648976093	4.833197758	4.721855065	5.364177671
cgd8_150-RA	na	3.010884513	3.010884513	3.726523662	4.242063963	3.684873515	4.489792337	4.42092872	4.577797821	3.010884513	4.548110207	3.660226329	3.677302643
cgd8_1500-RA	na	4.648067155	3.844513052	4.846340699	3.935662614	4.142445442	5.68039417	4.343925749	3.997368832	3.779961752	5.071138554	4.952840553	4.476275426
cgd8_1510-RA	na	5.739503338	4.369463144	4.560125758	4.242063963	5.380587788	4.89100757	5.942532065	5.31112632	5.88619569	4.548110207	5.623489969	6.120689503
cgd8_1530-RA	na	6.017229167	4.753531578	6.930094252	6.393983045	6.036930245	5.870022649	6.247436272	6.985437843	5.88619569	6.404821258	6.704371692	6.304683762
cgd8_1550-RA	na	5.739503338	6.925345442	6.132981886	5.358728087	5.679753584	5.870022649	5.379740941	5.31112632	5.396336689	6.31505567	5.751709507	5.18808976
cgd8_1570-RA	na	4.278151787	3.010884513	3.010884513	3.949670338	3.707125189	3.010884513	4.38700224	3.010884513	4.291775341	5.098123539	3.670969406	4.497745246
cgd8_1580-RA	na	6.226166353	5.883447738	5.819511962	6.102782911	6.057609242	6.138901052	5.263798594	5.963221883	5.069579926	6.234960978	6.251176344	6.216874867
cgd8_1583-RA	na	4.310326785	4.369463144	3.726523662	3.935662614	3.684873515	3.010884513	4.42092872	3.010884513	3.010884513	4.833197758	4.721855065	4.987482059
cgd8_1600-RA	na	5.186450583	4.369463144	5.469128481	5.210499987	5.537911431	3.932083313	5.716827816	3.997368832	4.278934887	4.833197758	5.151897008	5.521092207
cgd8_1610-RA	na	5.739503338	5.705794666	6.132981886	5.58162849	5.679753584	5.68039417	5.916175935	4.577797821	5.187493604	5.275335925	6.425519636	6.388569369
cgd8_1620-RA	na	4.942228651	5.306845616	4.846340699	5.210499987	5.380587788	5.462014094	5.555428773	5.31112632	5.187493604	3.719397979	3.010884513	3.010884513
cgd8_1630-RA	na	3.010884513	3.010884513	4.202713186	3.546137356	3.010884513	4.489792337	4.176371886	4.577797821	3.779961752	3.010884513	3.010884513	4.754403979
cgd8_1640-RA	na	4.942228651	3.844513052	4.202713186	4.242063963	3.010884513	5.68039417	4.42092872	4.99056321	4.278934887	3.719397979	4.721855065	4.131405811
cgd8_1650-RA	na	3.010884513	3.844513052	4.560125758	4.242063963	4.489304987	4.89100757	5.024762615	4.577797821	5.396336689	4.548110207	4.721855065	3.677302643
cgd8_1660-RA	na	3.779408455	3.844513052	3.726523662	3.935662614	4.489304987	3.010884513	4.262579904	3.997368832	3.010884513	3.719397979	5.151897008	4.131405811
cgd8_1670-RA	na	7.171532339	7.576646171	7.156356185	7.506670066	7.776474736	7.105660009	7.50574104	7.628677763	7.228463114	7.288085586	7.580017014	7.229187413
